_id,Programme,University,Programme_Fee,Country,Address,Latitude,Longitude
1,Master of Letters in Arts & Letters,Drew University,1236,USA,"36 Madison Avenue, 07940, Madison",-74.4207315,40.7616236
2,Microbiology Master???s Degree Online,University of Florida Online,16050,USA,"University of Florida Gainesville, FL, 32611, Gainesville",-82.3549302,29.6436325
3,Master of Science in Information Systems,Rider University,1000,USA,"Lawrenceville Road,2083, 08648, Lawrence Township",-74.7368335,40.2798058
4,MSCS - Cloud Security Architect specialization,EC-Council University,/,USA,"Sun Avenue Northeast,101, 87109, Albuquerque",-106.5889666,35.1658579
5,Master of Science in Data Analytics,"University of Indianapolis, School of Business",22752,USA,"1400 East Hanna Avenue, 46227, Indianapolis",-86.1364602,39.709623
6,Master of Public Policy,Pepperdine University School of Public Policy,/,USA,"24255 Pacific Coast Highway, 90265, Malibu",-118.7035208,34.0347898
7,M.A. in Diplomacy and International Relations,"Seton Hall University, School of Diplomacy and International Relations",/,USA,"400 South Orange Avenue , 07079, South Orange",-74.2460794,40.7425259
8,Master of Engineering in Regulatory Biomedical Engineering,The George Washington University - School of Engineering & Applied Science,1075,USA,"Science & Engineering Hall 800 22nd Street NW Suite 2885, 20052, Washington",-77.0494303,38.89992
9,MSc in Organizational Psychology,Unicaf University (MW),/,USA,"1745 Broadway, 10019, New York",-73.9825274,40.7652029
10,Master of Science in Data Analytics,Drew University,22248,USA,"36 Madison Avenue, 07940, Madison",-74.4207315,40.7616236
11,Master of Education,Drew University,800,USA,"36 Madison Avenue, 07940, Madison",-74.4207315,40.7616236
12,Master of Science in Finance,Drew University,1236,USA,"36 Madison Avenue, 07940, Madison",-74.4207315,40.7616236
13,Master of Arts in History & Culture,Drew University,1236,USA,"36 Madison Avenue, 07940, Madison",-74.4207315,40.7616236
14,Master of Arts in Teaching,Drew University,800,USA,"36 Madison Avenue, 07940, Madison",-74.4207315,40.7616236
15,Master of Divinity,Drew University,670,USA,"36 Madison Avenue, 07940, Madison",-74.4207315,40.7616236
16,Master of Arts in Religion,Drew University,670,USA,"36 Madison Avenue, 07940, Madison",-74.4207315,40.7616236
17,MSCS - Digital Forensic specialization,EC-Council University,/,USA,"Sun Avenue Northeast,101, 87109, Albuquerque",-106.5889666,35.1658579
18,MSCS - Executive Leadership in Information Assurance specialization,EC-Council University,/,USA,"Sun Avenue Northeast,101, 87109, Albuquerque",-106.5889666,35.1658579
19,MSCS - Incident Management and Business Continuity specialization,EC-Council University,/,USA,"Sun Avenue Northeast,101, 87109, Albuquerque",-106.5889666,35.1658579
20,MSCS - Security Analyst specialization,EC-Council University,/,USA,"Sun Avenue Northeast,101, 87109, Albuquerque",-106.5889666,35.1658579
21,Master of Science in Civil & Environmental Engineering,The George Washington University - School of Engineering & Applied Science,1075,USA,"Science & Engineering Hall 800 22nd Street NW Suite 2885, 20052, Washington",-77.0494303,38.89992
22,Master of Science in Computer Engineering (M.S.),The George Washington University - School of Engineering & Applied Science,1075,USA,"Science & Engineering Hall 800 22nd Street NW Suite 2885, 20052, Washington",-77.0494303,38.89992
23,Master of Science in Computer Science (M.S.),The George Washington University - School of Engineering & Applied Science,1075,USA,"Science & Engineering Hall 800 22nd Street NW Suite 2885, 20052, Washington",-77.0494303,38.89992
24,Master of Science in Cybersecurity in Computer Science,The George Washington University - School of Engineering & Applied Science,1075,USA,"Science & Engineering Hall 800 22nd Street NW Suite 2885, 20052, Washington",-77.0494303,38.89992
25,Master of Science in Data Analytics,The George Washington University - School of Engineering & Applied Science,1075,USA,"Science & Engineering Hall 800 22nd Street NW Suite 2885, 20052, Washington",-77.0494303,38.89992
26,Master of Science in Electrical Engineering (M.S.),The George Washington University - School of Engineering & Applied Science,1075,USA,"Science & Engineering Hall 800 22nd Street NW Suite 2885, 20052, Washington",-77.0494303,38.89992
27,Master of Science in Engineering Management (M.S.),The George Washington University - School of Engineering & Applied Science,1075,USA,"Science & Engineering Hall 800 22nd Street NW Suite 2885, 20052, Washington",-77.0494303,38.89992
